TIMESTAMPms	M81GYROx	M81GYROy	M81OPTICALFLOWflowcompmx	M81OPTICALFLOWflowcompmy	M81OPTICALFLOWflowx	M81OPTICALFLOWgrounddistance
1365	-0.00712739	-0.00372661	0.100789	0.549396	5940	-0.829387
1371	-0.00600432	-0.00433246	-0.872024	0.485392	6280	0.0244142
1378	-0.00469813	-0.00401822	-0.0255126	0.0239778	6580	-0.997693
1384	-0.00268201	-0.00277025	-0.831395	0.181884	6140	0.52383
1390	-0.000375188	-0.00110095	0.47073	0.0192147	6030	-0.88015
1396	0.00184054	0.000536111	0.48448	0.0270131	5930	-0.873912
1402	0.00328415	0.00123925	-0.867236	0.242393	5930	0.434663
1408	0.00437487	0.00130784	-0.845784	-0.164489	5940	0.506202
1413			-0.90681	-0.0508777	5980	-0.418352
1414	0.0047432	0.000784705				
1419	0.00448619	-0.000394225	-0.17928	0.474928	5930	-0.861094
1425	0.003723	-0.00135391	-0.592842	0.58418	5980	0.551268
1431	0.00203986	-0.0023051	0.00868055	-0.0508556	5930	-0.998666
1437	0.000263745	-0.0026454	-0.471502	0.0511834	5940	-0.879909
1450	-0.00423256	-0.00183734	0.149436	-0.43681	12430	-0.886882
1456	-0.00550109	-0.00132485	-0.610118	-0.698116	6650	-0.374686
1463	-0.00630832	-0.000636034	-0.648497	0.528484	6580	-0.544776
1470	-0.00631915	-2.6693e-05	-0.643267	0.512145	6630	-0.567161
1476	-0.00563823	0.000384075	-0.675609	-0.462901	6390	-0.571848
1482	-0.00453669	0.000458861	-0.509571	0.0745604	5910	-0.85671
1488	-0.00350856	0.000300769	-0.805333	-0.133097	5930	-0.575781
1494	-0.00241029	9.07751e-05	-0.362809	0.928844	6010	0.0474868
1500	-0.00139535	-0.000368864	-0.878715	0	5930	-0.475934
1506	-0.000753103	-0.000858234	-0.82941	-0.208662	5920	0.514938
1512	-0.000352187	-0.00144452	0.0207395	-0.0508621	5910	-0.998489
1517			-0.641632	-0.641953	5930	-0.415719
1518	-0.00012081	-0.00196356				
1523	-1.64262e-07	-0.00278184	-0.8049	-0.133029	5940	-0.575381
1529	-0.000154392	-0.00327097	-0.997033	0.0488251	5890	0.0130074
1535	-0.000291044	-0.00352565	-0.743827	-0.460881	6030	-0.482999
1541	-0.000816307	-0.00343979	-0.998092	-0.00119419	5960	-0.020854
1547	-0.00152629	-0.00274771	-0.849212	-0.524841	5940	0
1553	-0.00207891	-0.00176633	-0.997429	0.00337457	5920	0.0418537
1559	-0.00248183	-0.000424674	-0.996484	0.0202372	5970	0.0568939
1565	-0.00262131	0.00069314	-0.731511	-0.500676	5920	-0.459168
1571	-0.00263326	0.00185742	-0.515714	-0.683259	5960	0.513631
1577	-0.00240853	0.00257263	-0.992554	0.0962758	5970	0.046822
1583	-0.00199447	0.00311218	-0.812299	0.155579	5940	-0.560149
1589	-0.00159343	0.00345544	-0.860194	0.174099	5960	0.478661
1601	-0.000981699	0.00323368	-0.526716	-0.051313	12350	-0.848461
1607	-0.00116408	0.00253017	-0.60039	0.673069	5910	-0.427935
1613	-0.00153732	0.0018168	-0.891843	-0.205423	5920	0.398792
1620	-0.00240756	0.000906522	-0.907083	0.0508931	6500	-0.417729
1626	-0.00360984	0.000125365	-0.824939	0.272755	6600	-0.493925
1633	-0.00572439	0.000441444	-0.918777	-0.0498988	6580	-0.391495
1639	-0.0077723	0.0011507	0.554552	0.726495	6540	-0.401615
1645	-0.00898779	0.00131779	0.36783	0.926926	5930	0.0462257
1651	-0.0093633	0.00110235	-0.899113	0.023976	5960	-0.433174
1657	-0.00887219	0.000581528	-0.728879	-0.484807	6010	-0.482367
1663	-0.00788638	-1.94093e-05	-0.841544	-0.126355	5920	-0.523757
1669	-0.00592644	-0.0006974	-0.676811	-0.541524	5930	-0.497712
1675	-0.00403311	-0.000946233	-0.812299	0.155579	5940	-0.560149
1681	-0.00142076	-0.000923997	-0.0169688	-0.807925	5950	-0.587133
1687	0.000507233	-0.000577273	-0.719177	-0.448904	5940	-0.52862
1693	0.00222431	-4.88695e-05	-0.873109	0.155035	5940	0.461478
1699	0.00298377	0.000472609	-0.521945	0.628978	6040	0.574183
1705	0.00304837	0.00111009	-0.995258	0.0712045	5910	0.0321447
1711	0.00241665	0.00164749	-0.868565	0.169843	5900	-0.464649
1717	0.00114288	0.00210771	-0.620435	-0.601255	5960	0.502052
1723	8.19545e-06	0.00219454	-0.703468	0.472318	5910	-0.527894
1728	-0.00130274	0.00201414	0.243989	0.966918	5930	-0.0464717
1734	-0.00213789	0.00172838	-0.569545	-0.726568	5930	-0.38434
1740	-0.00256524	0.00100288	-0.920278	0	6000	-0.391263
1753	-0.00179079	-0.000544844	-0.509756	0.686376	12350	0.515423
1759	-0.000394157	-0.000921197	-0.620435	0.601255	5920	0.502052
1765	0.00102448	-0.00119749	0.0293831	-0.849232	5940	-0.525503
1771	0.00287511	-0.00143712	-0.509569	-0.0265771	5930	-0.858052
1776	0.0042896	-0.00150187	-0.223772	0.498333	5920	-0.83761
1783	0.00553521	-0.00170023	0.71627	-0.526696	6480	-0.456713
1789	0.00606224	-0.00190621	-0.723943	0.467405	6100	-0.504043
1795	0.00565087	-0.00187929	0.704121	-0.472769	5930	-0.526617
1801	0.00427446	-0.00147063	-0.625337	-0.664362	5950	-0.409294
1807	0.00265999	-0.000807761	0.195028	-0.453036	5930	-0.869427
1813	0.000370732	0.000328416	-0.900819	-0.215523	5940	0.372414
1819	-0.00147241	0.00111632	-0.62125	-0.651772	5970	-0.434976
1825	-0.00337491	0.00163539	-0.910675	0.0742404	6450	-0.402216
1831	-0.00479622	0.00161767	-0.712573	0.511026	5930	-0.479719
1837	-0.00547755	0.00121819	0.511953	0.0268208	5930	-0.856624
1843	-0.00585112	0.000365236	-0.823522	0.2634	5980	0.501362
1849	-0.00588719	-0.000262402	-0.562343	0.0744965	5940	-0.821485
1855	-0.00554684	-0.000749492	-0.723943	0.467405	5940	-0.504043
1861	-0.00522638	-0.000895247	-0.458056	-0.0239777	6110	-0.886695
1868	-0.00455015	-0.000708862	-0.660148	-0.486448	6590	-0.569384
1874	-0.00374114	-0.000257559	-0.394601	0.417931	6420	-0.818247
1880	-0.00285968	-5.44411e-05	-0.883126	0.0742519	5920	-0.45956
1886	-0.00218599	-0.000100246	-0.709709	-0.491609	5920	-0.5036
1892	-0.00154595	-0.000391131	0.0459397	0.860133	5930	-0.504661
1905	-0.000987674	-0.000785824	-0.668683	-0.524871	12810	-0.523446
1911	-0.000863124	-0.000876603	0.714158	-0.431037	6550	-0.549867
1918	-0.000621006	-0.000937596	-0.885496	0.168173	6580	0.433098
1924	-3.76263e-05	-0.00110395	-0.591864	-0.685415	6560	-0.420144
1930	0.000874766	-0.00122676	-0.709709	-0.491609	6000	-0.5036
1936	0.00195351	-0.00138697	-0.390093	-0.915825	5990	-0.0756336
1942	0.00368647	-0.00146548	-0.115296	0.525822	5970	-0.840735
1948	0.00535436	-0.00135309	0.232513	0.970858	6010	-8.11285e-05
1954	0.00783598	-0.00122316	-0.692501	-0.518384	5950	-0.500782
1960	0.0101883	-0.00136811	-0.855672	0.0239726	5940	-0.513685
1966	0.011838	-0.00166039	-0.496588	0.0507421	5930	-0.86455
1972	0.0132921	-0.00212291	-0.52562	-0.723407	5990	-0.447214
1978	0.0138855	-0.00266631	-0.703468	0.472318	5940	-0.527894
1984	0.0139078	-0.00347765	-0.747418	0.477584	6040	-0.460716
1990	0.0134002	-0.00441642	-0.84373	-0.198253	5970	-0.497961
1996	0.0122124	-0.00573608	-0.713834	0.430845	5910	-0.549033
2002	0.0109208	-0.00680823	-0.737722	0.442154	5950	-0.506842
2008	0.00897049	-0.00819942	-0.674023	0.541096	5980	-0.501172
2014	0.00728988	-0.00916061	-0.687308	0.499392	5970	-0.525765
2020	0.00550637	-0.00994382	-0.627058	0.535025	5960	-0.564183
2026	0.00434758	-0.00997794	-0.809477	-0.205203	6030	-0.548493
2032	0.00379666	-0.00895919	-0.830904	0.226543	5950	-0.504874
2038	0.00399632	-0.00733203	-0.812299	0.155579	5940	-0.560149
2050	0.00616886	-0.00278692	-0.529506	-0.676761	12340	-0.508173
2056	0.00706001	-0.00104661	-0.637385	0.629815	5930	-0.44316
2062	0.0078167	0.00087753	-0.652992	0.548107	5940	-0.521027
2068	0.00795106	0.00215555	-0.390778	0.914557	6330	0.0866962
2075	0.00733641	0.00342962	-0.814762	0.574585	6560	-0.0514507
2081	0.0061469	0.00457225	-0.563242	0.657292	6400	0.497339
2087	0.00454063	0.00494362	-0.627509	-0.674904	5920	-0.383868
2094	0.00319641	0.00443921	-0.658598	-0.563173	6500	-0.495688
2100	0.0017691	0.00288503	0.0355248	-0.0268012	6280	-0.997315
2106	0.000681689	0.000511771	-0.871392	-0.181316	5960	0.452128
2112	0.000129607	-0.00226286	-0.833388	0.275059	5900	0.475845
2118	-0.000176572	-0.00416147	-0.833683	0.546586	5930	0.0534106
2124	-0.000128453	-0.00547352	-0.876984	0.249526	5960	0.410651
2130	0.000315156	-0.00595245	0.883488	-0.0742726	5950	-0.45886
2136	0.000981665	-0.00507459	-0.789913	-0.208296	5930	-0.574783
2142	0.00198176	-0.0037891	-0.365935	-0.925784	5940	0.0751891
2148	0.00285806	-0.00134627	-0.54476	-0.73497	6030	-0.403572
2153	0.00409466	0.000999352	-0.83969	0.268315	5950	-0.46856
2159	0.00513567	0.0032012	-0.847223	0.219709	5940	-0.480168
2165	0.00557646	0.00376969	-0.67665	-0.541401	5960	-0.498088
2171	0.00513994	0.00338222	-0.851668	-0.243571	5950	-0.462836
2177	0.00408655	0.00234199	-0.829161	-0.153182	5930	-0.535553
2183	0.00184831	0.000390996	-0.0708075	0.0436215	5940	-0.994837
2189	-0.000417957	-0.00107955	-0.625155	0.664168	6010	-0.409907
2202	-0.00617703	-0.00420447	0.0856181	-0.521628	12360	-0.846872
2208	-0.00768358	-0.00544017	0.346308	0.488267	5940	-0.798927
2214	-0.00867918	-0.00658335	-0.814762	0.574585	6000	-0.0514507
2219	-0.00848362	-0.00674151	0.67665	0.541401	5930	-0.498088
2225	-0.00733522	-0.00591548	0.512303	0.697483	5920	-0.49975
2232	-0.00576549	-0.00437719	0.680403	-0.557114	6280	-0.47512
2238	-0.00299797	-0.00124027	-0.8755	-0.249104	6590	0.409956
2245	0.000522855	0.00287896	-0.525993	0.661319	6320	0.531612
2251	0.00441057	0.00687257	-0.872046	0.485189	5950	0.0276074
2256	0.0072664	0.00930594	-0.864595	0.496353	5960	0.0523842
2262	0.00991122	0.00989749	-0.497224	0.050807	5970	-0.865657
2268	0.0113487	0.00880545	0.131118	0.502617	5930	-0.8543
2275	0.0118095	0.00655146	-0.657379	0.563326	6470	-0.497131
2281	0.0105172	0.00350366	-0.530054	-0.677462	6470	-0.508699
2287	0.00836382	0.00144566	0.557807	-0.668453	6070	-0.491231
2293	0.00454775	-0.000692298	-0.712573	-0.511026	6000	-0.479719
2299	0.000100638	-0.0019627	-0.026688	0.0677406	5950	-0.997344
2305	-0.00354664	-0.00238396	-0.668491	-0.52471	5970	-0.523854
2311	-0.00761271	-0.00236692	-0.718839	-0.448693	6020	-0.527796
2317	-0.0101766	-0.00207121	-0.568691	-0.693745	5980	-0.441077
2323	-0.0122973	-0.00157854	-0.637638	0.495449	5940	-0.58797
2329	-0.0130772	-0.00128749	-0.484956	0.024016	5970	-0.874096
2335	-0.0128636	-0.00099952	-0.691654	-0.51775	5960	-0.50017
2341	-0.0118217	-0.000529101	-0.62138	0.518107	5970	-0.585839
2354	-0.00735702	0.00064446	-0.795317	-0.157953	12630	-0.583362
2360	-0.00564604	0.00102691	-0.836296	0.176958	6600	-0.517226
2367	-0.00389552	0.00157882	-0.615883	0.638	6630	-0.461477
2374	-0.00279415	0.00212915	-0.647376	0.531857	6570	-0.542822
2380	-0.0021762	0.00232516	-0.480853	-0.544877	6190	0.686569
2386	-0.00207902	0.00210427	-0.875924	-0.254382	5910	0.409709
