TIMESTAMPms	M81GYROx	M81GYROy	M81GYROz	M81OPTICALFLOWflowcompmx	M81OPTICALFLOWflowcompmy	M81OPTICALFLOWflowx	M81OPTICALFLOWgrounddistance
1477	3.32829e-06	-0.0001147	-6.25266e-05	-0.622975	-0.330709	5200	-0.706509
1482	-1.04151e-05	-0.000135303	-6.40474e-05	0.283025	2.38262e-10	5290	-0.957348
1487	-1.88127e-05	-0.000129182	-4.72438e-05	-0.419032	0.333902	5170	-0.844126
1492	-3.17904e-05	-0.000142148	-7.62523e-05	0.0385847	-0.827207	5210	-0.557553
1498	-1.49901e-05	-0.000122283	-6.47921e-05	-0.0061043	-0.0640721	5220	-0.996231
1503	-5.31639e-05	-0.000139068	-8.15827e-05	-0.248916	0.527645	5220	-0.810093
1508	-1.65103e-05	-7.41561e-05	-8.69191e-05	0.158674	-0.257236	5200	-0.951457
1513	8.68701e-06	-6.72771e-05	-4.79717e-05	-0.0715148	-0.0508275	5230	-0.996143
1519	1.47942e-05	-0.000110027	-7.31625e-05	-0.00188147	-0.034023	5230	-0.999414
1524	-9.63947e-06	-0.000111543	-9.52969e-05	0.11559	0.525523	5230	-0.842878
1529	-1.80371e-05	-0.000140545	-7.84902e-05	-0.346409	0.251694	5180	-0.901815
1534	-4.29216e-06	-9.01393e-05	-7.84824e-05	0.220468	0.139007	5250	-0.963686
1539	-3.9413e-05	-9.31843e-05	-5.25153e-05	0.205408	0.469667	5210	-0.856645
1545	-1.19229e-05	-0.000130587	-6.09086e-05	0.20705	-0.485923	5200	-0.848978
1556	3.92332e-05	-0.000141263	-7.84632e-05	0.258816	-0.0380151	10850	-0.963425
1560	2.31956e-05	-9.54383e-05	-8.83809e-05	0.0772028	-0.834482	4900	-0.543974
1566	-5.62112e-05	-0.000119097	-7.6156e-05	-0.0254915	0.83528	5630	-0.546153
1571	-1.03953e-05	-0.000126721	-8.07294e-05	-0.712827	-0.508865	5200	-0.481135
