TIMESTAMPms	M81GYROx	M81GYROy	M81GYROz	M81OPTICALFLOWflowcompmx	M81OPTICALFLOWflowcompmy	M81OPTICALFLOWflowx	M81OPTICALFLOWgrounddistance
470	-9.68261e-05	-1.16403e-05	-2.20065e-05	-0.55057	-0.0507997	5210	-0.83121
475	-6.85667e-05	-9.34859e-06	1.69344e-05	0.175158	0.563213	5210	-0.805437
480	-6.71589e-06	-2.00367e-05	-1.13169e-05	-0.497224	0.050807	5250	-0.865657
485	-5.95171e-06	-1.01092e-05	-3.11669e-05	0.499622	-0.0510521	5210	-0.864242
491	-5.78695e-05	4.10467e-05	-3.11638e-05	-0.489379	-0.0272674	5200	-0.871202
496	-6.24447e-05	-1.46933e-05	2.22847e-05	0.600639	0	5260	-0.799285
501	-2.80807e-05	-2.61444e-05	-1.13118e-05	-0.910401	0.0742252	5190	-0.402837
506	-6.16722e-05	-7.05416e-06	1.8466e-05	-0.559889	-0.625427	5200	0.54036
512	-2.95988e-05	3.57028e-05	1.23561e-05	-0.473941	-0.0514325	5230	-0.878566
517	-6.47171e-05	-2.84352e-05	-2.15169e-06	-0.862014	0.269408	5240	0.429147
522	-8.2112e-06	2.0432e-05	-1.28405e-05	-0.537623	0.0749503	5200	-0.837831
533	-3.56966e-05	5.78826e-07	-5.71226e-05	-0.501422	-0.0509917	10920	-0.86174
538	-6.16522e-05	-3.23876e-06	-3.67149e-06	-0.511944	0.0748025	5200	-0.855255
543	-1.65992e-05	1.34259e-06	2.38151e-05	-0.575785	-0.0504121	5200	-0.816014
549	-1.50705e-05	-1.92722e-05	-1.38299e-06	-0.540412	0.027252	5260	-0.838946
554	-8.68385e-05	-4.98105e-05	2.45763e-05	-0.499622	0.0510521	5190	-0.864242
559	-5.32356e-05	-1.39207e-05	2.38104e-05	-0.574825	-0.050328	5030	-0.814654
564	-1.0474e-05	-9.33831e-06	1.39319e-07	-0.510221	0.0266111	4950	-0.859151
569	-2.07441e-06	-3.37695e-05	-2.35294e-05	-0.675609	-0.462901	5210	-0.571848
574	-2.42159e-05	-3.22596e-06	3.19568e-06	-0.0186249	0	5310	-0.999826
579	-1.27609e-05	-1.69863e-06	-1.81828e-05	-0.512783	0.024017	5140	-0.858114
585	-4.10093e-05	-8.57001e-06	-4.43788e-06	-0.871435	-0.023997	5220	-0.488547
590	-2.19176e-05	3.80047e-05	3.19762e-06	-0.511953	0.0268208	5200	-0.856624
595	-3.7949e-05	2.73118e-05	-1.38373e-06	-0.553527	0.0510726	5230	-0.831238
600	-5.85598e-05	2.11339e-06	-3.95589e-05	-0.458787	-0.024016	5230	-0.88811
605				-0.577039	-0.0503229	5200	-0.813087
606	-3.71758e-05	2.95994e-05	-9.01469e-06				
611	-4.55707e-05	-3.98826e-05	3.2023e-06	-0.483211	0.0748666	5230	-0.870358
616	-4.40391e-05	-2.76625e-05	-2.88652e-05	-0.162371	0.49997	5280	-0.850617
621	-2.03661e-05	-3.91123e-05	-1.66463e-05	-0.635315	0.76875	5160	0.045012
626	-7.15189e-05	-5.0561e-05	-1.81716e-05	-0.0354566	-0.0268027	5220	-0.997317
632	-4.0208e-05	1.5869e-05	-4.871e-05	-0.562343	-0.0744965	5200	-0.821485
637	-4.86026e-05	-2.23078e-05	-3.65833e-06	0.195732	-0.45521	5230	-0.868128
642	-3.10371e-05	-3.68122e-05	-2.27456e-05	-0.0206713	-0.0508636	5230	-0.99849
647	-5.47026e-05	-2.30654e-05	-9.00023e-06	-0.474005	-0.0511939	5200	-0.878618
652				-0.884943	0.0264088	5250	-0.4613
653	-5.85147e-05	-7.02951e-06	1.62733e-07				
658	-3.10227e-05	-9.20757e-07	-3.65481e-06	0.147071	0.522467	5260	-0.837864
663	-3.33101e-05	-1.68417e-06	-5.94496e-06	-0.553527	-0.0510726	5140	-0.831238
668	-5.08674e-05	1.12956e-05	-2.73225e-05	-0.196012	0.455321	5220	-0.868006
673	-5.69703e-05	-2.07728e-05	2.07811e-05	-0.484183	0.0239777	5230	-0.872703
684	-5.62011e-05	1.37096e-06	1.39074e-05	0.0999488	0.546426	10830	-0.829486
689	-4.01619e-05	2.733e-05	-5.9451e-06	-0.796029	0.229984	4830	-0.557825
694	-3.63404e-05	-3.29896e-05	-2.27416e-05	0.128853	0.544469	5210	-0.82876
700	-6.07689e-05	-3.20964e-06	-1.66313e-05	0.208084	0.472918	5610	-0.854207
705	-5.46548e-05	-1.00809e-05	1.84916e-05	-0.113172	0.564945	5160	-0.817265
710	-4.93048e-05	-1.23704e-05	-2.27395e-05	-0.499687	0.0508153	5170	-0.864293
715	-1.49421e-05	-2.22947e-05	-1.58657e-05	0.176075	0.566079	4950	-0.805108
720	-5.31159e-05	3.34434e-05	-2.65532e-05	0.211063	0.432424	5220	-0.87469
726	-9.12858e-05	-2.45863e-05	-1.35487e-06	0.474764	0	5220	-0.880014
731	-6.98986e-05	1.13009e-05	1.54424e-05	0.537623	0.0749503	5200	-0.837831
736	-5.92025e-05	6.10659e-07	7.80578e-06	-0.554865	0.0509839	5220	-0.828337
742	-3.40009e-05	4.03129e-05	-2.12082e-05	-0.458056	0.0239777	5650	-0.886695
747	4.17773e-06	-4.13862e-05	-9.7535e-06	0.486286	-0.0272265	5260	-0.871438
752	-3.2471e-05	5.95524e-06	-6.6985e-06	-0.538037	0.024017	5220	-0.842509
757	-4.31568e-05	-1.53393e-07	-3.113e-05	-0.320202	0.492333	4770	-0.807277
762	-4.2389e-05	-1.1606e-05	3.23085e-06	-0.528792	0.0515046	5180	-0.847161
767	-2.55876e-05	-3.22194e-05	-2.73097e-05	-0.537158	0.0239777	5240	-0.841133
773	-4.16187e-05	-5.49354e-06	2.46975e-06	-0.553746	-0.0508811	5220	-0.831087
